CHECKLIST_NAME	CHECKLIST_FIELD_ID	CHECKLIST_FIELD_NAME	CHECKLIST_FIELD_DESCRIPTION
GSC MIMAGS	699	MAG coverage software	Tool(s) used to determine the genome coverage if coverage is used as a binning parameter in the extraction of genomes from metagenomic datasets e.g. bwa, bbmap, bowtie, other
GSC MIUVIGS	699	MAG coverage software	Tool(s) used to determine the genome coverage if coverage is used as a binning parameter in the extraction of genomes from metagenomic datasets e.g. bwa, bbmap, bowtie, other
ENA Micro B3	168	Marine Region	The geographical origin of the sample as defined by the marine region name chosen from the Marine Regions vocabulary at http://www.marineregions.org/. Example: Aegean Sea.
ENA Shellfish Checklist	168	Marine Region	The geographical origin of the sample as defined by the marine region name chosen from the Marine Regions vocabulary at http://www.marineregions.org/. Example: Aegean Sea.
ENA Tara Oceans	168	Marine Region	The geographical origin of the sample as defined by the marine region name chosen from the Marine Regions vocabulary at http://www.marineregions.org/. Example: Aegean Sea.
ENA Tara Oceans	191	Nitrate Sensor	Nitrate concentration parameters in the water column measured in volts and converted to micromoles per litres. Format: ##.####, SDN:P02:75:NTRA, SDN:P06:46:UPOX for µmol/L. Example: 0.2259.
GSC MIUVIGS	718	OTU classification approach	Cutoffs and approach used when clustering “species-level” OTUs. Note that results from standard 95% ANI / 85% AF clustering should be provided alongside OTUS defined from another set of thresholds, even if the latter are the ones primarily used during the analysis. This should be formatted {ANI cutoff};{AF cutoff};{clustering method} e.g. 95% ANI;85% AF; greedy incremental clustering
GSC MIUVIGS	720	OTU database	Reference database (i.e. sequences not generated as part of the current study) used to cluster new genomes in "species-level" OTUs, if any. This should be formatted: {database};{version} e.g. NCBI Viral RefSeq;83
GSC MIUVIGS	719	OTU sequence comparison approach	Tool and thresholds used to compare sequences when computing "species-level" OTUs formatted: {software};{version};{parameters} e.g. gblastn;2.6.0+;e-value cutoff: 0.001
ENA Tara Oceans	169	Oxygen Sensor	Oxygen concentration parameters in the water column measured in volts and converted to micromoles per kilogrammes. Format: ###.####, SDN:P02:75:DOXY, SDN:P06:46:KGUM for µmol/kg. Example: 217.7895.
Pan Prostate sample checklist	675	PPCG ID	Pan Prostate Cancer Group participant ID
Pan Prostate sample checklist	676	PPCG sample ID	Pan Prostate Cancer Group sample ID.
This is an extension of the participant ID:
As a different sample is added from an individual a letter is added to the identifier in alphanumeric order. E.g., for PPCG ID P0076 the first sample ID would be PPCG0076a and then PPCG0076b, PPCG0076c and so on. At the end of each sample ID please always add whether the sample is DNA or RNA.  Therefore, naming should look like either PPCG0076b_DNA for DNA samples or PPCG0076b_RNA for RNA samples
Pan Prostate sample checklist	677	Pipeline/UUID	A unique sample identifier used within various pipeline groups - used to avoid sample ID clash when pipeline results are merged.
ENA Micro B3	192	Protocol Label	Identifies the protocol used to produce the sample, e.g. filtration and preservation. Example: BACT_NUC_W0.22-1.6.
ENA Shellfish Checklist	192	Protocol Label	Identifies the protocol used to produce the sample, e.g. filtration and preservation. Example: BACT_NUC_W0.22-1.6.
ENA Tara Oceans	192	Protocol Label	Identifies the protocol used to produce the sample, e.g. filtration and preservation. Example: BACT_NUC_W0.22-1.6.
ENA Tara Oceans	221	Salinity Sensor	Salinity of water at the time of taking the sample. Format: ##.####, SDN:P02:75:PSAL, SDN:P06:46:UGKG for PSU. Example: 39.2268.
	414	Sample Collection Device - deprecated	The sampling device(s) used for the Event. Example: CTD(sbe9C)/Rosette with Niskin bottles.
ENA Tara Oceans	170	Sample Status	Refers to the completness of sample metadata validation. Example: preliminary but can be used to provide data discovery services.
ENA Micro B3	279	Sampling Campaign	Refers to a finite or indefinite activity aiming at collecting data/samples, e.g. a cruise, a time series, a mesocosm experiment. Example: TARA_20110401Z.
ENA Shellfish Checklist	279	Sampling Campaign	Refers to a finite or indefinite activity aiming at collecting data/samples, e.g. a cruise, a time series, a mesocosm experiment. Example: TARA_20110401Z.
ENA Tara Oceans	279	Sampling Campaign	Refers to a finite or indefinite activity aiming at collecting data/samples, e.g. a cruise, a time series, a mesocosm experiment. Example: TARA_20110401Z.
ENA Micro B3	280	Sampling Platform	Refers to the unique stage from which the sampling device has been deployed. Includes Platform category from SDN:L06, http://seadatanet.maris2.nl/v_bodc_vocab_v2/search.asp?lib=L06, and Platform name. Example: Research Vessel Tara.
ENA Shellfish Checklist	280	Sampling Platform	Refers to the unique stage from which the sampling device has been deployed. Includes Platform category from SDN:L06, http://seadatanet.maris2.nl/v_bodc_vocab_v2/search.asp?lib=L06, and Platform name. Example: Research Vessel Tara.
ENA Tara Oceans	280	Sampling Platform	Refers to the unique stage from which the sampling device has been deployed. Includes Platform category from SDN:L06, http://seadatanet.maris2.nl/v_bodc_vocab_v2/search.asp?lib=L06, and Platform name. Example: Research Vessel Tara.
ENA Micro B3	171	Sampling Site	Refers to the site/station where data/sample collection is performed. Term list: OSD Site Registry or SDN:C17, http://tinyurl.com/oxux985 Example: Poseidon-E1-M3A Time Series Station.
ENA Shellfish Checklist	246	Sampling Station	Refers to the site/station where data/sample collection is performed. Example: TARA_100.
ENA Tara Oceans	246	Sampling Station	Refers to the site/station where data/sample collection is performed. Example: TARA_100.
GSC MIUVIGS	780	UViG assembly quality	UViG assembly quality is one of 3 attributes which in combination reflect the standard quality of a UViG, see here for more information: https://ena-docs.readthedocs.io/en/latest/faq_metagenomes.html.
GSC MISAGS	709	WGA amplification approach	Method used to amplify genomic DNA in preparation for sequencing
GSC MIUVIGS	709	WGA amplification approach	Method used to amplify genomic DNA in preparation for sequencing
GSC MISAGS	710	WGA amplification kit	Kit used to amplify genomic DNA in preparation for sequencing
GSC MIUVIGS	710	WGA amplification kit	Kit used to amplify genomic DNA in preparation for sequencing
ENA Influenza virus reporting standard checklist	543	WHO/OIE/FAO clade (required for HPAI H5N1 viruses)	WHO/OIE/FAO clade should be included for highly pathogenic H5N1 viruses. Example: 2.2
GSC MIxS built environment	352	absolute air humidity	actual mass of water vapor - mh20 - present in the air water vapor mixture
ENA Micro B3	71	adapters	Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported; in uppercase letters
ENA binned metagenome	71	adapters	Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported; in uppercase letters
GSC MIMAGS	71	adapters	Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported; in uppercase letters
GSC MISAGS	71	adapters	Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported; in uppercase letters
GSC MIUVIGS	71	adapters	Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported; in uppercase letters
GSC MIxS Food and Production	71	adapters	Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported; in uppercase letters
GSC MIxS Hydrocarbon	71	adapters	Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported; in uppercase letters
GSC MIxS Symbiont	71	adapters	Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported; in uppercase letters
GSC MIxS agriculture	71	adapters	Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported; in uppercase letters
GSC MIxS air	71	adapters	Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported; in uppercase letters
GSC MIxS built environment	71	adapters	Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported; in uppercase letters
GSC MIxS host associated	71	adapters	Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported; in uppercase letters
GSC MIxS human associated	71	adapters	Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported; in uppercase letters
GSC MIxS human gut	71	adapters	Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported; in uppercase letters
GSC MIxS human oral	71	adapters	Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported; in uppercase letters
GSC MIxS human skin	71	adapters	Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported; in uppercase letters
GSC MIxS human vaginal	71	adapters	Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported; in uppercase letters
GSC MIxS microbial mat biolfilm	71	adapters	Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported; in uppercase letters
GSC MIxS miscellaneous natural or artificial environment	71	adapters	Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported; in uppercase letters
GSC MIxS plant associated	71	adapters	Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported; in uppercase letters
GSC MIxS sediment	71	adapters	Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported; in uppercase letters
GSC MIxS soil	71	adapters	Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported; in uppercase letters
GSC MIxS wastewater sludge	71	adapters	Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported; in uppercase letters
GSC MIxS water	71	adapters	Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported; in uppercase letters
HoloFood Checklist	71	adapters	Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported; in uppercase letters
GSC MIxS built environment	1206	address	The street name and building number where the sampling occurred.
ENA Shellfish Checklist	661	adductor weight	Total weight of striated muscle and smooth muscle
GSC MIxS built environment	819	adjacent rooms	List of rooms (room number, room name) immediately adjacent to the sampling room
GSC MIxS built environment	883	aerospace structure	Aerospace structures typically consist of thin plates with stiffeners for the external surfaces, bulkheads and frames to support the shape and fasteners such as welds, rivets, screws and bolts to hold the components together
ENA Crop Plant sample enhanced annotation checklist	576	age	Age of the organism the sample was derived from.
ENA Shellfish Checklist	576	age	Age of the organism the sample was derived from.
	358	air environmental package	MIGS/MIMS/MIMARKS extension for reporting of measurements and observations obtained from one or more of the environments where the sample was obtained. All environmental packages listed here are further defined in separate subtables. By giving the name of the environmental package, a selection of fields can be made from the subtables and can be reported
GSC MIxS Food and Production	479	air particulate matter concentration	Concentration of substances that remain suspended in the air, and comprise mixtures of organic and inorganic substances (PM10 and PM2.5); can report multiple PM's by entering numeric values preceded by name of PM
GSC MIxS air	479	air particulate matter concentration	Concentration of substances that remain suspended in the air, and comprise mixtures of organic and inorganic substances (PM10 and PM2.5); can report multiple PM's by entering numeric values preceded by name of PM
GSC MIxS built environment	222	air temperature	temperature of the air at time of sampling
ENA Plant Sample Checklist	398	air temperature regimen	information about treatment involving an exposure to varying temperatures; should include the temperature, treatment duration, interval and total experimental duration; can include different temperature regimens
GSC MIxS plant associated	398	air temperature regimen	information about treatment involving an exposure to varying temperatures; should include the temperature, treatment duration, interval and total experimental duration; can include different temperature regimens
ENA Micro B3	112	alkalinity	alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate
GSC MIxS Hydrocarbon	112	alkalinity	alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate
GSC MIxS microbial mat biolfilm	112	alkalinity	alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate
GSC MIxS miscellaneous natural or artificial environment	112	alkalinity	alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate
GSC MIxS sediment	112	alkalinity	alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate
GSC MIxS wastewater sludge	112	alkalinity	alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate
GSC MIxS water	112	alkalinity	alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate
GSC MIxS Hydrocarbon	1144	alkalinity method	Method used for alkalinity measurement
GSC MIxS water	1144	alkalinity method	Method used for alkalinity measurement
ENA Micro B3	193	alkyl diethers	concentration of alkyl diethers
GSC MIxS microbial mat biolfilm	193	alkyl diethers	concentration of alkyl diethers
GSC MIxS sediment	193	alkyl diethers	concentration of alkyl diethers
GSC MIxS water	193	alkyl diethers	concentration of alkyl diethers
ENA Global Microbial Identifier reporting standard checklist GMI_MDM:1.1	484	altitude	The altitude of the sample is the vertical distance between Earth's surface above Sea Level and the sampled position in the air.
ENA Plant Sample Checklist	484	altitude	The altitude of the sample is the vertical distance between Earth's surface above Sea Level and the sampled position in the air.
ENA UniEuk_EukBank Checklist	484	altitude	The altitude of the sample is the vertical distance between Earth's surface above Sea Level and the sampled position in the air.
ENA binned metagenome	484	altitude	The altitude of the sample is the vertical distance between Earth's surface above Sea Level and the sampled position in the air.
GSC MIMAGS	484	altitude	The altitude of the sample is the vertical distance between Earth's surface above Sea Level and the sampled position in the air.
GSC MISAGS	484	altitude	The altitude of the sample is the vertical distance between Earth's surface above Sea Level and the sampled position in the air.
GSC MIUVIGS	484	altitude	The altitude of the sample is the vertical distance between Earth's surface above Sea Level and the sampled position in the air.
GSC MIxS Food and Production	484	altitude	The altitude of the sample is the vertical distance between Earth's surface above Sea Level and the sampled position in the air.
GSC MIxS Hydrocarbon	484	altitude	The altitude of the sample is the vertical distance between Earth's surface above Sea Level and the sampled position in the air.
GSC MIxS Symbiont	484	altitude	The altitude of the sample is the vertical distance between Earth's surface above Sea Level and the sampled position in the air.
GSC MIxS agriculture	484	altitude	The altitude of the sample is the vertical distance between Earth's surface above Sea Level and the sampled position in the air.
GSC MIxS air	484	altitude	The altitude of the sample is the vertical distance between Earth's surface above Sea Level and the sampled position in the air.
GSC MIxS built environment	484	altitude	The altitude of the sample is the vertical distance between Earth's surface above Sea Level and the sampled position in the air.
GSC MIxS host associated	484	altitude	The altitude of the sample is the vertical distance between Earth's surface above Sea Level and the sampled position in the air.
GSC MIxS human associated	484	altitude	The altitude of the sample is the vertical distance between Earth's surface above Sea Level and the sampled position in the air.
GSC MIxS human gut	484	altitude	The altitude of the sample is the vertical distance between Earth's surface above Sea Level and the sampled position in the air.
GSC MIxS human oral	484	altitude	The altitude of the sample is the vertical distance between Earth's surface above Sea Level and the sampled position in the air.
GSC MIxS human skin	484	altitude	The altitude of the sample is the vertical distance between Earth's surface above Sea Level and the sampled position in the air.
GSC MIxS human vaginal	484	altitude	The altitude of the sample is the vertical distance between Earth's surface above Sea Level and the sampled position in the air.
GSC MIxS microbial mat biolfilm	484	altitude	The altitude of the sample is the vertical distance between Earth's surface above Sea Level and the sampled position in the air.
GSC MIxS miscellaneous natural or artificial environment	484	altitude	The altitude of the sample is the vertical distance between Earth's surface above Sea Level and the sampled position in the air.
GSC MIxS plant associated	484	altitude	The altitude of the sample is the vertical distance between Earth's surface above Sea Level and the sampled position in the air.
GSC MIxS sediment	484	altitude	The altitude of the sample is the vertical distance between Earth's surface above Sea Level and the sampled position in the air.
GSC MIxS soil	484	altitude	The altitude of the sample is the vertical distance between Earth's surface above Sea Level and the sampled position in the air.
GSC MIxS wastewater sludge	484	altitude	The altitude of the sample is the vertical distance between Earth's surface above Sea Level and the sampled position in the air.
GSC MIxS water	484	altitude	The altitude of the sample is the vertical distance between Earth's surface above Sea Level and the sampled position in the air.
ENA Micro B3	399	aminopeptidase activity	measurement of aminopeptidase activity
GSC MIxS microbial mat biolfilm	399	aminopeptidase activity	measurement of aminopeptidase activity
GSC MIxS sediment	399	aminopeptidase activity	measurement of aminopeptidase activity
GSC MIxS water	399	aminopeptidase activity	measurement of aminopeptidase activity
ENA Micro B3	72	ammonium	concentration of ammonium
GSC MIxS Hydrocarbon	72	ammonium	concentration of ammonium
GSC MIxS microbial mat biolfilm	72	ammonium	concentration of ammonium
GSC MIxS miscellaneous natural or artificial environment	72	ammonium	concentration of ammonium
GSC MIxS sediment	72	ammonium	concentration of ammonium
GSC MIxS water	72	ammonium	concentration of ammonium
GSC MIxS human associated	331	amniotic fluid/color	specification of the color of the amniotic fluid sample
GSC MIxS human associated	514	amniotic fluid/foetal health status	specification of foetal health status, should also include abortion
GSC MIxS human associated	481	amniotic fluid/gestation state	specification of the gestation state
GSC MIxS human associated	520	amniotic fluid/maternal health status	specification of the maternal health status
GSC MIxS built environment	931	amount of light	The unit of illuminance and luminous emittance, measuring luminous flux per unit area
ENA Global Microbial Identifier Proficiency Test (GMI PT) checklist	509	amount or size of sample collected	The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected.
ENA Global Microbial Identifier reporting standard checklist GMI_MDM:1.1	509	amount or size of sample collected	The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected.
ENA Marine Microalgae Checklist	509	amount or size of sample collected	The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected.
ENA Micro B3	509	amount or size of sample collected	The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected.
ENA Plant Sample Checklist	509	amount or size of sample collected	The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected.
ENA binned metagenome	509	amount or size of sample collected	The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected.
ENA sewage checklist	509	amount or size of sample collected	The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected.
GSC MIMAGS	509	amount or size of sample collected	The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected.
GSC MISAGS	509	amount or size of sample collected	The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected.
GSC MIUVIGS	509	amount or size of sample collected	The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected.
GSC MIxS Food and Production	509	amount or size of sample collected	The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected.
GSC MIxS Hydrocarbon	509	amount or size of sample collected	The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected.
GSC MIxS Symbiont	509	amount or size of sample collected	The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected.
GSC MIxS air	509	amount or size of sample collected	The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected.
GSC MIxS built environment	509	amount or size of sample collected	The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected.
GSC MIxS host associated	509	amount or size of sample collected	The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected.
GSC MIxS human associated	509	amount or size of sample collected	The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected.
GSC MIxS human gut	509	amount or size of sample collected	The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected.
GSC MIxS human oral	509	amount or size of sample collected	The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected.
GSC MIxS human skin	509	amount or size of sample collected	The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected.
GSC MIxS human vaginal	509	amount or size of sample collected	The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected.
GSC MIxS microbial mat biolfilm	509	amount or size of sample collected	The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected.
GSC MIxS miscellaneous natural or artificial environment	509	amount or size of sample collected	The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected.
GSC MIxS plant associated	509	amount or size of sample collected	The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected.
GSC MIxS sediment	509	amount or size of sample collected	The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected.
GSC MIxS soil	509	amount or size of sample collected	The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected.
GSC MIxS wastewater sludge	509	amount or size of sample collected	The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected.
GSC MIxS water	509	amount or size of sample collected	The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected.
ENA Plant Sample Checklist	633	ancestral data	information about either pedigree or other description of ancestral information (e.g. parental variety in case of mutant or selection), e.g.  A/3*B (meaning [(A x B) x B] x B)
GSC MIxS Food and Production	633	ancestral data	information about either pedigree or other description of ancestral information (e.g. parental variety in case of mutant or selection), e.g.  A/3*B (meaning [(A x B) x B] x B)
GSC MIxS agriculture	633	ancestral data	information about either pedigree or other description of ancestral information (e.g. parental variety in case of mutant or selection), e.g.  A/3*B (meaning [(A x B) x B] x B)
GSC MIxS host associated	633	ancestral data	information about either pedigree or other description of ancestral information (e.g. parental variety in case of mutant or selection), e.g.  A/3*B (meaning [(A x B) x B] x B)
